,Total
45,0,0,4,0,0,3,0,1,91,29,247,323,487,1,286,98,309,39,258,222,82,33,363,404,420,0,294,11,153,69,242,220,160,15,166,5030
46,0,0,11,0,1,9,0,1,72,36,252,249,49,3,128,84,418,45,237,237,70,33,373,424,57,0,115,10,483,115,210,171,177,22,154,4246
47,0,0,5,1,0,2,0,0,77,36,266,265,436,3,273,94,274,40,255,178,53,26,412,394,374,0,288,12,154,73,202,211,161,19,133,4717
48,0,0,3,0,1,2,0,1,73,35,233,230,50,2,98,85,360,47,225,209,68,22,375,382,54,1,86,5,456,86,204,152,142,9,130,3826
49,0,0,3,1,1,3,0,1,76,25,237,225,447,3,268,89,270,45,231,201,72,16,344,351,344,0,254,10,135,73,152,196,132,13,123,4341
50,0,0,6,2,0,3,0,0,53,28,228,224,48,0,246,73,373,33,226,187,51,22,334,364,49,0,274,6,423,71,192,173,139,6,112,3946
51,0,0,3,2,0,5,0,1,55,24,232,208,382,2,102,85,246,38,241,191,46,13,321,343,342,0,104,5,124,38,189,203,125,8,119,3797
52,0,0,4,0,1,2,0,1,51,26,215,182,45,3,248,76,317,24,215,171,47,16,315,347,46,0,217,3,352,75,161,116,111,10,105,3502
53,0,0,1,0,2,3,0,0,64,18,199,183,381,8,94,79,244,36,197,185,51,15,327,355,314,0,73,3,117,39,165,152,98,6,111,3520
54,0,0,1,1,2,3,0,0,41,18,191,176,37,2,228,52,329,37,195,144,47,29,277,327,38,0,209,5,363,62,169,118,109,10,91,3311
55,0,0,0,0,0,2,0,0,29,26,189,180,277,1,171,69,239,26,180,160,45,11,277,303,259,0,82,4,137,56,162,160,82,6,101,3234
56,0,0,2,1,0,7,0,0,43,11,193,191,27,3,127,63,298,36,175,174,55,12,281,283,52,1,193,4,341,64,148,97,70,3,91,3046
57,0,0,5,1,0,1,0,0,34,20,157,184,299,2,207,63,190,34,169,136,37,7,275,304,303,0,56,2,117,50,144,158,61,6,88,3110
58,0,0,4,1,0,1,0,0,38,11,185,152,36,2,95,56,286,23,172,146,39,10,252,281,38,0,179,1,320,62,139,112,72,4,80,2797
